Salaries,Overtime,Other_Salaries,Total_Salary,Retirement,Health/Dental,Other_Benefits,Total_Benefits,Total_Compensation
27211.05,2233.37,15835.39,45279.81,4830.59,2389.32,733.98,7953.89,53233.7
77175,8395.1,565.05,86135.15,16889.98,13054.95,6629.95,36574.88,122710.03
93738.06,1729.31,2928.3,98395.67,19485.88,12424.51,8057.77,39968.16,138363.83
22651.82,2994.29,378.27,26024.38,5794.31,6929.05,2040.77,14764.13,40788.51
106723.31,33868.13,24092.69,164684.13,20340.52,12858.44,2798.61,35997.57,200681.7
60232.2,1115.36,628.8,61976.36,11326.17,13068.8,5138.69,29533.66,91510.02
103296.5,21383.48,3378.9,128058.88,19852.19,13068.81,9512.51,42433.51,170492.39
82681.5,28112.15,14381.15,125174.8,17996.19,12918.25,9435.05,40349.49,165524.29
78607,945.36,11902.55,91454.91,18927.54,13054.94,7053.3,39035.78,130490.69
39128.05,10732.57,1076.67,50937.29,11682.68,7781.32,3814.3,23278.3,74215.59
118898.15,4748.08,14195.23,137841.46,24976.28,13054.94,2195.63,40226.85,178068.31
53456.33,32217.13,3096.25,88769.71,10059.71,10441.08,7069,27569.79,116339.5
118212.15,54905.12,4273.51,177390.78,24666.78,12392.69,373.48,37432.95,214823.73
120113.75,536.4,28355.23,149005.38,32840.49,10863.45,10414.93,54118.87,203124.25
66262.18,3411.85,4820.73,74494.76,12524.75,11968.38,6141.09,30634.22,105128.98
119355.3,19042.29,2963.23,141360.82,25790.19,12500.56,2324.52,40615.27,181976.09
66313.96,7929.08,1175.6,75418.64,15369.47,13065.79,5423.61,33858.87,109277.51
23995,456.19,279,24730.19,5444.68,3012.67,1913.43,10370.78,35100.97
140284.9,6374.62,14734.31,161393.83,30281.13,12452.65,2733.41,45467.19,206861.02
97403.19,27823.98,13392.71,138619.88,22823.76,11792.91,8918.21,43534.88,182154.76
47376.6,810.84,6797.87,54985.31,10069.99,6759.65,855.42,17685.06,72670.37
92450.97,11127.12,10278,113856.09,22279.45,12464.63,9144.77,43888.85,157744.94
26092.45,3749,2117.63,31959.08,5737.76,6534.41,2540.38,14812.55,46771.63
138208.57,53649.62,24082.63,215940.82,29578.08,13054.94,3561.48,46194.5,262135.32
112703.74,14737.76,18748.34,146189.84,25707.92,15245.17,2433.95,43387.04,189576.88
40806.26,14050.15,2314.21,57170.62,7368.41,6025.35,1080.78,14474.54,71645.16
44106.82,2928.04,1175.1,48209.96,8245.89,9336.68,3944.42,21526.99,69736.95
65513.55,100.42,7767.95,73381.92,15457.45,13017.28,5788.47,34263.2,107645.12
119450.15,2004,4258.42,125712.57,23683.76,12424.5,2140.94,38249.2,163961.77
96121.97,34681.96,13815.29,144619.22,26725.42,12217.41,2409.64,41352.47,185971.69
24951.11,23444.41,3816.24,52211.76,6338.68,6301.85,4138.45,16778.98,68990.74
121133.37,17512.54,4742.47,143388.38,21526.01,13081.28,2396.07,37003.36,180391.74
119838.27,1687.26,19433.39,140958.92,29057.38,11746.12,3192.03,43995.53,184954.45
63804.02,46.31,619.8,64470.13,11731.51,12801.79,5256.2,29789.5,94259.63
137411.54,55343.4,24995.81,217750.75,32249.46,13905.89,566.49,46721.84,264472.59
123471.13,871.73,5661.46,130004.32,23519.67,12918.24,2100.79,38538.7,168543.02
111640.48,29064.21,28462.78,169167.47,28741.89,15816.57,2760.87,47319.33,216486.8
108337,13011.83,1604.26,122953.09,23139.7,13054.91,9593.64,45788.25,168741.34
58908.09,11099.91,2705.34,72713.34,18037.51,12478.5,5721.39,36237.4,108950.74
66518.9,15348.54,1069.27,82936.71,20064.54,13322.37,6249.94,39636.85,122573.56
118898.06,3213.61,3197.08,125308.75,24976.24,13054.94,1535.65,39566.83,164875.58
57587.68,12685.74,1048.19,71321.61,12729.26,11854.57,5703.05,30286.88,101608.49
44759.06,26344.45,8017.63,79121.14,10117.26,5268.44,1313.82,16699.52,95820.66
100964.8,5961.36,4212.64,111138.8,19241.81,13068.81,9109.51,41420.13,152558.93
36922.4,14053.08,2281.64,53257.12,8919.45,6574.42,1072.48,16566.35,69823.47
87817.53,10966.46,4197.72,102981.71,20010.33,12456.48,8019.35,40486.16,143467.87
93502.02,29409.14,4288.65,127199.81,19640.72,12400.61,9876,41917.33,169117.14
51289.53,19643.83,2365.54,73298.9,14222.94,10391.11,5681.82,30295.87,103594.77
19918.75,54.33,2837.47,22810.55,5584.46,5792.81,1704.54,13081.81,35892.36
35712.34,1068.34,789.13,37569.81,8574.07,4586.31,616.53,13776.91,51346.72
44873.78,2827.64,535.8,48237.22,11505.94,11705.51,3993.26,27204.71,75441.93
158366.98,2968.2,15396.46,176731.64,31881.67,12424.5,3001.99,47308.16,224039.8
74773.9,43649.34,10275.11,128698.35,15741.24,12312.95,9530.17,37584.36,166282.71
84508.03,2497.15,9735.21,96740.39,19542.36,12320.78,7944.04,39807.18,136547.57
76125.91,28377.69,1520,106023.6,17416.02,12476.61,8559.67,38452.3,144475.9
75862.7,2952.27,105,78919.97,16595.7,13054.94,6053.2,35703.84,114623.81
31299.15,17.63,2866.25,34183.03,6959.52,7961.28,2691.44,17612.24,51795.27
112889.85,19353.2,19103.96,151347.01,22491.86,15683.42,2415.45,40590.73,191937.74
66000.67,7265.83,7012.54,80279.04,14034.34,12894.32,6579.44,33508.1,113787.14
123471.16,857.44,10432.93,134761.53,23519.67,12918.24,2237.5,38675.41,173436.94
81721.42,7371.18,1196.5,90289.1,15434.75,13068.73,6739.92,35243.4,125532.5
70791.06,3500.52,95.85,74387.43,14611.17,12424.5,6143.74,33179.41,107566.84
41808.92,13958.95,1206.85,56974.72,9248.74,13068.8,4558.89,26876.43,83851.15
99683.22,480.5,109.84,100273.56,21275.91,12512.37,7662.78,41451.06,141724.62
54189.88,2984.42,4270.86,61445.16,12120.5,13081.28,4960.97,30162.75,91607.91
54333.26,6644.53,1020,61997.79,12415.75,9130.5,4821.32,26367.57,88365.36
92054.78,11677.13,3738.2,107470.11,17135.78,12851.03,7947.67,37934.48,145404.59
61798.6,248.22,36.46,62083.28,13183.19,12224.9,5132.38,30540.47,92623.75
42112.16,237.18,206.63,42555.97,9297.33,9162.56,3447.78,21907.67,64463.64
24870.93,1802.87,15409.03,42082.83,5347.65,4430.65,3383.3,13161.6,55244.43
77592.7,10004.83,2665.85,90263.38,14439.96,15762.38,1486.07,31688.41,121951.79
65832.85,114.32,6713.28,72660.45,12697.64,12794.46,5996.36,31488.46,104148.91
113233.59,14466.34,22137.66,149837.59,26148.66,15196.11,2553.61,43898.38,193735.97
26396.51,4773.94,1215.21,32385.66,7081.2,5503.48,2485.74,15070.42,47456.08
56952.05,9247.88,784.15,66984.08,17122.72,11388.2,5122.25,33633.17,100617.25
82162.5,13454.14,6291.7,101908.34,15401.16,13093.75,1709.3,30204.21,132112.55
20513.19,4445.15,515.25,25473.59,6184.46,4079.42,1963.36,12227.24,37700.83
17416,110.25,294,17820.25,4493.32,4519.02,1342.86,10355.2,28175.45
118898.05,40704.25,3401.61,163003.91,25473.75,13054.94,250.59,38779.28,201783.19
117129.72,6020.52,10023.8,133174.04,23205.2,12424.5,2260.37,37890.07,171064.11
57490.1,334.5,5174.14,62998.74,10940.59,12969.04,4916.73,28826.36,91825.1
143289.03,9013.61,925.82,153228.46,27268.93,12918.25,1655.77,41842.95,195071.41
16262.35,200.08,396.16,16858.59,3603.71,3041.33,896.23,7541.27,24399.86
34297.54,14814.74,6725.74,55838.02,7017.3,3595.56,932.79,11545.65,67383.67
84092.92,25887.36,18099.24,128079.52,20319,12424.5,9845.88,42589.38,170668.9
72606.15,2020.09,6076.26,80702.5,16917.74,10042.26,6704.06,33664.06,114366.56
126144.52,72.08,8327.71,134544.31,30318.06,11427.11,3150.76,44895.93,179440.24
80064.77,211.01,2150.63,82426.41,16908.2,12138.08,6760.48,35806.76,118233.17
91354.74,12770.05,11130.84,115255.63,21302.09,10581.41,1953.4,33836.9,149092.53
127401.4,16136.32,6370.08,149907.8,24252.73,13068.8,9575.33,46896.86,196804.66
70393.54,8117.34,7193.27,85704.15,13944.03,8123.71,1440.2,23507.94,109212.09
55605.32,392.01,980.31,56977.64,14534.59,12480.14,4243.5,31258.23,88235.87
137318.88,7286.8,15553.02,160158.7,24463.56,12740.24,2669.08,39872.88,200031.58
117144.5,13823.38,5731.87,136699.75,25315.92,12512.53,2301.29,40129.74,176829.49
48911.71,154.9,290.58,49357.19,21864.36,3949.95,374.19,26188.5,75545.69
64134.27,26812.29,5877.85,96824.41,20094.34,13019.34,7551.3,40664.98,137489.39
44714.55,11119.9,1160,56994.45,11835.62,9854.36,4370.22,26060.2,83054.65
104451.01,5566.17,170,110187.18,22594.43,13054.94,8638.03,44287.4,154474.58
67290.28,8206.11,6804.31,82300.7,16315.63,9514.73,514.31,26344.67,108645.37
54179.42,46.73,1725,55951.15,14371.72,12463.02,4496.1,31330.84,87281.99
50349.1,2398.27,200,52947.37,9168.62,10482.33,4217.09,23868.04,76815.41
75998,19894.79,17164.6,113057.39,15743.72,12801.79,7968.41,36513.92,149571.31
104411.01,5063.51,11451.01,120925.53,24239.15,13054.94,446.39,37740.48,158666.01
60905.01,4227.47,3714.92,68847.4,13776.99,12464.61,5657.2,31898.8,100746.2
111493.85,1891.81,12970.27,126355.93,19890.02,12740.24,2147.03,34777.29,161133.22
107962.7,4155.77,15831,127949.47,26764.39,11611.75,9958.29,48334.43,176283.9
118898.01,524.75,6385.96,125808.72,25470.41,13054.94,2094.59,40619.94,166428.66
89399.65,8951.34,16624.43,114975.42,17412.66,13068.8,9088.73,39570.19,154545.61
66111.3,25241.7,10378.2,101731.2,13281.93,12851.02,8088.2,34221.15,135952.35
86657.03,4331.85,1480,92468.88,16402.33,13068.8,7657.31,37128.44,129597.32
68598.87,23356.95,4146.24,96102.06,17546.72,13774.63,7484.25,38805.6,134907.66
43719.17,980.71,2111.14,46811.02,9771.02,9380.81,3910.33,23062.16,69873.18
57739.08,11996.81,12222.32,81958.21,11979.84,12557.14,6511.88,31048.86,113007.07
90667.74,16515.42,2233.34,109416.5,17288.85,11347.92,8768.55,37405.32,146821.82
116584,28001.38,6911.81,151497.19,24486.99,13054.94,2474.71,40016.64,191513.83
59864.21,587.96,2061.5,62513.67,11702.18,10534.98,4633.74,26870.9,89384.57
64422.79,1689.17,1163.26,67275.22,19465.27,12901.61,5066.04,37432.92,104708.14
120094.13,9768.47,6189.62,136052.22,21341.32,12969.04,2329.98,36640.34,172692.56
112703.72,42840.94,11530.87,167075.53,25827.06,15230.57,2761.68,43819.31,210894.84
32949.23,160.34,749.31,33858.88,7113.49,3012.68,574.91,10701.08,44559.96
36703.2,951.15,3343.64,40997.99,7507.45,3927.38,3636.56,15071.39,56069.38
20744.29,11420.39,2694.87,34859.55,3776.74,6495.01,2763.07,13034.82,47894.37
96318.9,21555.39,25086.96,142961.25,27875.05,12500.56,2411.6,42787.21,185748.46
113827.04,28529.63,18847.78,161204.45,22535.81,15862.14,2702.71,41100.66,202305.11
104411,13564.81,12957.68,130933.49,23897.78,13054.94,1347.97,38300.69,169234.18
96318.92,36866.39,14296.53,147481.84,26016.74,12500.55,2399.43,40916.72,188398.56
85715.08,17136.12,5422.57,108273.77,16389.01,12561.76,8873.54,37824.31,146098.08
138151.98,38005.16,8789.13,184946.27,28992.55,13054.94,2682.41,44729.9,229676.17
138635.26,12226.73,16345.47,167207.46,27395.36,12424.5,2809.25,42629.11,209836.57
115294.66,9969.28,22140.47,147404.41,23567.02,10415.13,2387.28,36369.43,183773.84
127468.95,7283.84,21927.33,156680.12,26131.26,12218.91,672.15,39022.32,195702.44
118206.91,10303.49,1502.55,130012.95,21008.92,13018.93,2215.31,36243.16,166256.11
88296.02,350.21,4698,93344.23,18209.18,12424.5,7746.76,38380.44,131724.67
117585.49,1431.8,24104.42,143121.71,26067.47,11266.92,972.39,38306.78,181428.49
71657.96,1117.57,2019.06,74794.59,16202.58,11969.22,5781.72,33953.52,108748.11
116457.09,2920.51,5220.06,124597.66,23059.84,12352.82,2046.15,37458.81,162056.47
63212.38,10927.35,5217.27,79357,17519.09,13179.33,6155.88,36854.3,116211.3
107978.01,7746.1,2034,117758.11,22676.74,12424.5,9262.42,44363.66,162121.77
7728.71,350.06,26.99,8105.76,1832.85,2431.63,627.76,4892.24,12998
68851.26,531.06,13031.98,82414.3,12637.99,10772.38,5770.4,29180.77,111595.07
90779.81,6079.77,2351.47,99211.05,18492.32,9455.76,1680.54,29628.62,128839.67
91146.77,8936.85,7012.21,107095.83,21381.04,12476.61,8596.51,42454.16,149549.99
53033.64,3288.21,227.12,56548.97,9698.78,9825.91,4650.75,24175.44,80724.41
65759.01,13460.41,3661.71,82881.13,18801.11,13322.6,6302.08,38425.79,121306.92
77760.63,3307.14,3848.65,84916.42,14725.07,13116.39,7011.64,34853.1,119769.52
62155.5,386.19,3634.08,66175.77,14593.95,12500.56,5401.51,32496.02,98671.79
91747.6,23045.49,7897.98,122691.07,18716.96,9557.3,2068.97,30343.23,153034.3
124528.6,1211.04,21956.42,147696.06,28367.82,10388.92,5274.49,44031.23,191727.29
88842.11,11584.45,8837.29,109263.85,19452.93,13054.94,2566.96,35074.83,144338.68
67842,10639.62,2188.21,80669.83,16889.03,13619.87,6810.35,37319.25,117989.08
47945.91,2117.45,31809.63,81872.99,13911.33,6274.23,1339.47,21525.03,103398.02
66326.02,631.37,1959.54,68916.93,12434.81,12801.8,5285.25,30521.86,99438.79
97325.73,679.5,6908.06,104913.29,23456.95,10192.57,8572.55,42222.07,147135.36
66123.13,213.53,11849.73,78186.39,14455.31,12918.24,6290.59,33664.14,111850.53
139814.72,2192.45,9047.84,151055.01,28540.94,12349.83,10247.97,51138.74,202193.75
67453.21,34889.24,6488.95,108831.4,17727.77,13510.57,8308.35,39546.69,148378.09
74587,5513.91,1420,81520.91,16611.7,13054.94,6498.26,36164.9,117685.81
118051.91,29577.22,21857.73,169486.86,25507.55,12291.01,2802.2,40600.76,210087.62
118898.06,43615,16644.98,179158.04,24979.52,13054.94,2935.05,40969.51,220127.55
79103.43,442.22,389.02,79934.67,17385.8,8096.8,6310.69,31793.29,111727.96
63367.03,10415.8,587.18,74370.01,18976.84,12686.51,5691.33,37354.68,111724.69
86172.14,11269.14,10828.81,108270.09,23581.21,10951.96,1787.2,36320.37,144590.46
66812.64,4816.18,10074.67,81703.49,15531.78,12496.06,6671.31,34699.15,116402.64
112246.5,11957.63,15053.48,139257.61,23662.53,12512.54,2301.54,38476.61,177734.22
37056.7,5264.74,760,43081.44,9371.12,7645.85,3316.44,20333.41,63414.85
78792.73,5385.43,6179.26,90357.42,18568.29,13054.94,7502.84,39126.07,129483.49
61303.3,9700.36,3634.5,74638.16,13881.17,11638.45,6063.31,31582.93,106221.09
64907.1,10591.79,2445.5,77944.39,14558.66,12500.56,6366.36,33425.58,111369.97
88831.02,95.51,600,89526.53,18420.39,12424.5,7373.67,38218.56,127745.09
38623.2,700.8,2712.86,42036.86,10467.35,13054.95,3348.22,26870.52,68907.38
78980.71,3403.66,628.8,83013.17,14815.42,13068.8,6615.61,34499.83,117513
73384.24,8171.55,259.13,81814.92,13363.21,12801.79,6440.81,32605.81,114420.73
87325.37,2205.53,7223.07,96753.97,19318.7,12259.46,7896.51,39474.67,136228.64
32317.6,835.8,1402.72,34556.12,7189.18,5561.13,2786.06,15536.37,50092.49
76393.53,2057.5,490,78941.03,14308.01,12700.92,6291.54,33300.47,112241.5
53840.4,752.22,7342.8,61935.42,12270.22,12512.55,5077.44,29860.21,91795.63
83191.59,2961.96,8297.89,94451.44,14835.83,9047.42,1508.32,25391.57,119843.01
54200.64,12306.1,5010.77,71517.51,12479.04,11086.34,5738.56,29303.94,100821.45
64310.79,874.31,3917.94,69103.04,11825.31,11615.96,5520.25,28961.52,98064.56
115893.46,11826.67,20891.8,148611.93,25084.93,15645.43,2524.31,43254.67,191866.6
52988,38.51,4013.1,57039.61,9762.75,12801.79,4750.4,27314.94,84354.55
55812.81,5896.14,316,62024.95,12589.68,12500.56,5069.7,30159.94,92184.89
66058.04,5851.55,4417.74,76327.33,20610.77,13995.78,5980.67,40587.22,116914.55
78420.34,10739.14,15442.85,104602.33,23634.75,10176.09,1777.96,35588.8,140191.13
78154.62,5044.06,3689.92,86888.6,14251.95,12900.26,6718.78,33870.99,120759.59
43785.3,238,3502.83,47526.13,8800.32,5437.02,3686.97,17924.31,65450.44
66296.83,10722.13,2401.53,79420.49,16812.41,14048.37,6016.8,36877.58,116298.07
48332.56,103.85,4878.38,53314.79,10386.32,11353.57,4148.85,25888.74,79203.53
110274.23,638.83,5049.07,115962.13,24921.1,10295.36,9671.43,44887.89,160850.02
42934.57,884.45,1636.34,45455.36,12871.76,8538.32,3322.04,24732.12,70187.48
168520,2514.42,7814.42,178848.84,32476.91,10525.98,2952.16,45955.05,224803.89
93139.02,12491.21,8861.08,114491.31,18959.82,12512.55,1508.72,32981.09,147472.4
86847.6,56028.23,12779.55,155655.38,17631.89,13068.8,9592.88,40293.57,195948.95
11433.09,1238,84.8,12755.89,3299.51,2320.94,991.31,6611.76,19367.65
107990.55,10014.41,15264.04,133269,19171.67,9976.19,2240.96,31388.82,164657.82
105971.69,33503.57,16611.11,156086.37,26726.62,15114.17,2521.8,44362.59,200448.96
100222.52,332.84,15633.38,116188.74,21560.74,13068.8,9507.88,44137.42,160326.16
68070.03,17553.62,1454.3,87077.95,16747.9,13664.13,6585.57,36997.6,124075.55
117144.5,840.75,11953.06,129938.31,23971.05,12524.53,2066.85,38562.43,168500.74
20791.49,844.11,912.12,22547.72,5599.56,5600.7,1698.05,12898.31,35446.03
47636,290.39,4041.26,51967.65,10988,13018.93,4220.29,28227.22,80194.87
90481.2,4628.04,13428.51,108537.75,18213.79,12547.37,8533.48,39294.64,147832.39
46546.5,1381.07,620,48547.57,11286.46,12376.71,3945.49,27608.66,76156.23
53579.44,1730.15,2102.95,57412.54,11585.16,12512.55,4729.94,28827.65,86240.19
64951.88,43.52,9866.37,74861.77,17612.47,6820.1,1240.4,25672.97,100534.74
53556.9,10046.59,6145.59,69749.08,14830.28,12500.56,5714.45,33045.29,102794.37
45213.08,427,2188.92,47829,11753.71,10567.64,3858.61,26179.96,74008.96
77766.08,22199.81,1753.65,101719.54,17378.33,13054.94,8219.72,38652.99,140372.53
26210.8,260.14,3421.54,29892.48,5962.31,3846.82,476.83,10285.96,40178.44
45176,2465.7,3886.74,51528.44,11279.61,12400.61,4101.77,27781.99,79310.43
56367.94,6011.62,6923.05,69302.61,11245.39,11391.56,5704.73,28341.68,97644.29
127037.76,896.67,27133.69,155068.12,26557.14,11436.89,10378.94,48372.97,203441.09
99719.34,1368.9,2146,103234.24,22848.39,12500.54,8178.61,43527.54,146761.78
138645.51,5259.32,9478.83,153383.66,28340.15,12524.53,2553.92,43418.6,196802.26
64463.7,28894.75,16890.87,110249.32,15667.15,12424.5,8963.97,37055.62,147304.94
112926.75,9996.23,11386.16,134309.14,25688.16,12476.61,2221.98,40386.75,174695.89
79222,17232.32,12738.9,109193.22,15752.68,12801.79,9002.13,37556.6,146749.82
62954,2436.05,8329.62,73719.67,12856.6,13068.8,5909.03,31834.43,105554.1
40148.54,466.6,16194.8,56809.94,10559.87,4407.92,4581.22,19549.01,76358.95
70096.21,22708.89,8516.12,101321.22,13433.26,12512.55,1903.02,27848.83,129170.05
111634.01,3689.38,13957.75,129281.14,19916.23,12460.69,2196.76,34573.68,163854.82
31632.92,1088.07,1020.7,33741.69,5861.78,8998.94,2745.14,17605.86,51347.55
77712.72,705.64,4686.11,83104.47,18010.98,12904.31,6399.97,37315.26,120419.73
63210.81,994.01,255.66,64460.48,14233.59,12500.56,5314.74,32048.89,96509.37
81873.2,3570.76,842.18,86286.14,17035.25,12272.18,6932.67,36240.1,122526.24
69847,15780.59,5677.56,91305.15,16047.89,13054.94,7419,36521.83,127826.98
28384.06,3055.6,293.95,31733.61,5935.4,12373.79,2960.7,21269.89,53003.5
81697.08,36512.13,9175.55,127384.76,17850.32,12297.57,9776.55,39924.44,167309.2
84467.78,3323.7,20012.47,107803.95,20387.05,12402.19,8843.2,41632.44,149436.39
86200.8,22974.58,8984.11,118159.49,17016.8,12969.04,9382.83,39368.67,157528.16
118326.46,19135.15,1677.07,139138.68,24210.49,12404.68,2306.14,38921.31,178059.99
59878.01,10967.37,5402,76247.38,11322.39,12801.78,6857.07,30981.24,107228.62
124155.14,29.66,25000.53,149185.33,34189.18,13068.8,2188.4,49446.38,198631.71
84756.83,25985.84,16235.2,126977.87,21446.44,12500.56,9232.64,43179.64,170157.51
21660.3,44.21,785.64,22490.15,5198.67,6212.25,1812.51,13223.43,35713.58
84796.79,4518.8,14147.48,103463.07,24914.16,11017.71,1770.13,37702,141165.07
